id	name	barcode	instr_id	instrument_name	state	created_by	created_at
974	120412_SN1080_0104_AC0MYGACXX_fail	C0MYG_fail	29089	h1080	Failed	24	2012-04-12 12:43:52-04
863	111118_h393_0198_AC08GVACXX	C08GV	12299	h393	Completed	24	2011-11-24 17:01:59-05
976	120412_h1179_0073_BC075RACXX_fail	C075R_fail	44518	h1179	Failed	24	2012-04-12 13:32:32-04
919	120208_h801_0068_AC0GEYACXX	C0GEY	18185	h801	Completed	24	2012-02-22 16:23:24-05
964	120404_h239_0150_AD0RU9ACXX	D0RU9	8942	h239	Completed	24	2012-04-10 11:06:55-04
965	04022012-2	04022012-2	29441	it1	Completed	24	2012-04-11 10:06:00-04
1001	120518_SN1068_0089_BC0J2BACXX_fail	C0J2B_fail	29090	h1068	Failed	24	2012-05-22 13:04:22-04
966	04102012-1	04102012-1	29441	it1	Completed	24	2012-04-11 10:08:12-04
967	120404_h1179_0072_AD0VJ9ACXX	D0VJ9	44518	h1179	Failed	24	2012-04-11 15:43:25-04
1342	130306_M00753_0040_000000000-A2NUH	A2NUH	55199	m753	Failed	24	2013-03-15 10:00:43-04
968	120405_h803_0086_BD0TLRACXX	D0TLR	18188	h803	Completed	24	2012-04-11 16:22:48-04
969	120404_SN203_0148_BC0M0MACXX	C0M0M	8940	h203	Completed	24	2012-04-11 16:28:09-04
970	120405_SN203_0149_AC077GACXX	C077G	8940	h203	Completed	24	2012-04-11 16:31:47-04
971	120323_h1179_0070_BC0JHTACXX	C0JHT	44518	h1179	Completed	24	2012-04-11 16:42:52-04
972	120405_h804_0084_AD0VKKACXX	D0VKK	18186	h804	Completed	24	2012-04-11 16:53:16-04
973	120405_SN801_0071_BC0MRDACXX	C0MRD	18185	h801	Completed	24	2012-04-11 16:56:37-04
975	120412_SN1068_0087_BD0VY4ACXX	D0VY4	29090	h1068	Completed	24	2012-04-12 13:10:27-04
977	120413_SN7001205_0077_BC077JACXX	C077J	49099	h1205	Completed	24	2012-04-17 15:04:53-04
989	120424_M00146_0040_AMS0009584-00300	AMS0009584	28979	m146	Completed	24	2012-04-30 15:52:19-04
1016	120530_SN7001179_0076_AC0J29ACXX	C0J29	44518	h1179	Completed	24	2012-05-30 16:22:58-04
1013	120528_M00146_0049_A000000000-A0CD3	A000000000-A0CD3	28979	m146	Completed	24	2012-05-30 15:18:40-04
